id,texto,aspect,polarity,start_position,end_position,aspecto_llm,polaridade_llm
599,"O Cassa NY esta convenientemente localizado entre a 5a e a 6a Ave, na 45 street. Para quem quer ir as principais atracões, museus, Broadway e as compras, o Cassa é perfeito. Inclusive pelo quarto muito bom e, last but not least, a Stephanie, que é brasileira e esta na concierge. Nesta época que estive lá a academia nao funcionava, mas se pode usar a NYS na 44th street bem perto. O restaurante nao é bom.",museu,1,123,128,localização,1
600,"Recomendo o hotel, a localização é muito boa (próxima da estação Gare Du Nord, para quem quer ir ou vir pelo Eurostar, e também para ir e vir para o Aeroporto Charles de Gaulle por trem RER; e para andar a pé para as mais importantes atrações de Paris). É também muito próxima de estações de Metrô cujas linhas levam as estações Louvre e Champs Eliseés. O serviço também é excelente, funcionários simpáticos e quartos reformados no estilo parisiense de ser. Recomendo definitivamente.",hotel,1,12,17,localização,1
601,"Hotel muito bem localizado com apartamento espaçoso e confortável para 3 adultos.  atendimento cordial e o serviço de quarto com arrumaçao e limpeza adequados.  nos finais de semana, à partir da quinta feira, há o inconveniente das baladas promovidas pelo hotel, atraindo pessoas pouco educadas que provocam muito barulho e confusão no lobby do hotel, além de congestionamento e filas nos elevadores.",atendimento,1,83,94,localização,1
602,"O hotel tem ótima localização, fizemos vários passeios a pé a partir dali. Os atendentes da recepção e também do restaurantes são muito simpáticos e atenciosos. O quarto e o banheiro sao espaçosos, novos, limpos e a internet funciona muito bem. O café-da-manhã é delicioso e bem servido. Pretendo voltar outras vezes e recomendo a todos!",quarto,1,163,169,localização,1
603,"Eu e meu marido estivemos no Hotel Comfort Mouffetard agora no mês de Julho/2012, o quarto é pequeno, mas extremamente aconchegante, o banheiro tinha um especial que era possível a pessoa movimentar-se tranquilamente. Os atendentes sempre gentis, a Madame Elisabeth, sempre educada e pronta a ajudar, adorei a hospedagem.",quarto,1,84,90,quarto,-1
604,"nada se iguala a vegas  ficamos no hotel venetian para nós foi o melhor que ficamos ate hj.  simplismente magnífico super localizado .  perto de todos eventos de vegas vc faz td sem carro se quiser,pois ele fica no centro.  um luxo em todos os sentidos.  vá com toda certeza que é isso que vc ver nas fotos pq além de td e mais bonito ainda.  ja estou comprando para ir passar o ano novo de 2011 lá.  katia piva,",luxo,1,227,231,vegas,1
605,"Recomendo o hotel, a localização é muito boa (próxima da estação Gare Du Nord, para quem quer ir ou vir pelo Eurostar, e também para ir e vir para o Aeroporto Charles de Gaulle por trem RER; e para andar a pé para as mais importantes atrações de Paris). É também muito próxima de estações de Metrô cujas linhas levam as estações Louvre e Champs Eliseés. O serviço também é excelente, funcionários simpáticos e quartos reformados no estilo parisiense de ser. Recomendo definitivamente.",localização,1,21,32,localização,1
606,"O hotel é simples, mas o quarto e as camas são grandes. Tudo muito limpinho e bem arrumado. O café da manhã é simplérrimo, dois tipos de pão, leite e café (mas é um dos poucos hotéis de preço mais barato em NY que oferece esse desjejum). Gostei também da localização! Enfim, recomendo para quem procura um hotel com um bom custo-benefício!",custo-benefício,1,323,338,hotel,-1
607,"Esse hotel fica entre o Luxor e o MGM, em um lugar estratégico da The Strip.   O quarto é muito bom e o hotel foi reformado recentemente. O café da manhã é pago mas a internet e o estacionamento são grátis, o que é um plus.   Se você tem um orçamento um pouco apertado mas não quer abrir mão de um quarto de bom gosto, este hotel é uma boa pedida.  Room Tip: Quartos amplos e novos. Fique atendo para não receber duas camas queen ao invés de uma king.",estacionamento,1,180,194,quarto,1
608,"Localizado na mais tradicional rua de Porto Alegre, o Hotel Açores encontra-se estrategicamente dentro do centro financeiro, turístico, comercial e cultural de Porto Alegre.Está a poucos quarteirões da Estação Rodoviária, Hospital Santa Casa, Usina do Gasômetro, Universidades, Praça da Alfandega, Shopping Rua da Praia, Parque Farroupilha, Palácio Piratini, Tribunal de Contas, Museu do MARGS, Teatro da OSPA e outros pontos de interesse. Os apartamentos amplos e confortáveis são equipados com ar-condicionado, frigobar, telefone, cama box spring, mesa de trabalho, wi-fi grátis, recepção 24 horas e estacionamento. O hotel serve um grande buffet de café-da-manhã com variedade de produtos, incluindo frutas da época, frios e iogurtes.",recepção,0,582,590,rua tradicional,1
609,"Franco e Direto: Não é um hotel de luxo, na verdade faz parte dos chamados hoteis familiares de Paris. É um local para dormir. Mas, no meu caso, resolveu. Bom atendimento, excelente localização, pois é ao lado do centro e, convenientemente, afastado da muvuca. Em 10 minutos de metro vc está no louvre, em 15 na Torre Eiffel. E, principal, era limpo. Não tem serviço de quarto, mas tem no terreo uma daquelas maquinas que vende desde chocolate a suco, passando por biscoitos etc. É isso.",serviço de quarto,0,359,376,hotel,-1
610,"É necessário verificarem as sanitas, pois um dos quartos tinha uma sanita cujo rebordo magoava sendo passível de causar ferimentos. Àparte esta situação, recomendamos este hotel. O atendimento é muito bom, bem como a nível de informações e limpeza. Os quartos são grandes e muito bem equipados. A nível de pequeno almoço também o consideramos muito bom, tendo bastante variedade de escolha.",hotel,1,172,177,sanitas,-1
611,"O hotel é bem simples, mas o custo benefício compensa. O café da manhã não tem nada de especial, alguns donuts, bagel, manteiga e geleia, suco de laranja e café. Mas vale a pena considerando que muitos hotéis de mesmo preço não oferecem o café da manhã. A localização também é muito boa. Perto ara andar apé para os principais pontos turísticos e perto de estações de metrô.",localização,1,256,267,simples,-1
612,"Adorei o hotel. Excelente localização com ótimos restaurantes e estação de metrô bem pertinho. Atendimento cordial, simpático, com pessoas que se dispõem a ajudar. Com certeza me hospedarei nesse hotel quando for a Nova York novamente! Ah, não deixe de visitar o terraço, a vista é linda!  Genilda e Bia - Brasil",hotel,1,9,14,hotel,1
613,"Realmente essa foi uma ótima surpresa , o hotel é muito bom , muito bem localizado , perto da estação de metrô e da estação de trem, dá pra ir e voltar para o aeroporto de term . Fica perto da praça da bastilha e o que mais gostei é que a região é bem tranquila , tem mercado na frente que dá pra fazer um lanche e comprar alguma coisa que vc precise . O café da manhã tb é muito bom , o atendemento do pessoal tb , quero voltar a Paris e ficar lá novamente.",hotel,1,42,47,ótima,1
614,"Hotel muito bem localizado, próximo das melhores atrações de Nova York, além de estações de metro a poucos passos. O hotel oferece café, leite, chás e deliciosos muffins no café da manhã, um diferencial para quem quer sair cedo sem se preocupar com o café. As toalhas e lençóis estavam sempre limpos.",café da manhã,1,173,186,localização,1
615,"É um hotel com localização excelente, a menos de 1 quadra do metro e do RER, e há 2 quadras do Sena. O quarto é pequeno, mas novo, tem internet wireless grátis, bule elétrico e sachês de café e chás. Oferece um café da manhã muito bom, e também um lanche no fim do dia, o que garante uma grande economia em Paris! Recomendo!",quarto,1,103,109,localização,1
616,"É um hotel com localização excelente, a menos de 1 quadra do metro e do RER, e há 2 quadras do Sena. O quarto é pequeno, mas novo, tem internet wireless grátis, bule elétrico e sachês de café e chás. Oferece um café da manhã muito bom, e também um lanche no fim do dia, o que garante uma grande economia em Paris! Recomendo!",internet,1,135,143,localização,1
617,Otimo serviço com boa limpeza e café da manhä farto (com ovos e frios pagos a parte). O atendimento e cordialidade da recepçao é um capitulo a parte. Precisei de uma noite extra e com muita atençao o atendente (que infelizmente nao sei o nome) conseguiu um quarto apesar do hotel estar lotado! O unico ponto fraco e que algum quarto estava com um fumante e a fumaça ia para meu quarto pelo ar condicionado,limpeza,1,22,29,serviço,1
618,"Sinceramente, as únicas coisas boas no hotel são a proximidade do aeroporto, pra quem precisa ficar perto dele, e o transfer gratuito para o aeroporto. Porque o resto... O hotel é muito simples, não tem elevador, o quarto é mais simples ainda, o banheiro horrível, o pessoal da recepção não é muito simpático, só vale mesmo para quem vai pegar um vôo muito cedo e não quer correr o risco de se atrasar.",aeroporto,0,66,75,proximidade do aeroporto,1
619,"Ficamos em um quarto quadruplo que tinha bastante mofo na parede. Não tem tv a cabo, é um hotel bem antigo. O café da manhã é bom, bem variado. A portaria do hotel é muito limpa, bonita e organizada, já o restante do hotel não acompanha este padrão. Se for apenas pra dormir quebra o galho em função do preço baixo. Não indico para hospedagem de famílias, principalmente com crianças pequenas em função da higiene dos quartos. Roupas de cama bem usadas. A porta do box do banheiro não fechava em função da privada que fica no caminho, ou seja, o banho tem que ser tomado com a porta do box entreaberta. A janela do banheiro não fecha totalmente, o que deve ser um grande problema em dias de muito frio.",família,0,346,353,mofo,-1
620,"Latour Maubourg e incrivelmente aconchegante! O quarto e maravilhoso, e todo o hotel e muito bem decorado, mostrando um pouco de Paris em todos os comodos.  O atendimento e impecavel, assim como o servico de quarto! O cafe da manha e maravilhoso e toda essa atmosfera ajudou a deixar minha Lua de Mel realmente inesquecivel!  Agradeco a toda a equipe desse hotel singular!",atendimento,1,159,170,incredivelmente,1
621,"O Hotel e perto de tudo. Localização em NY é essecial. O quarto e pequeno mas e muito bom, limpo e silencioso. Como tem muitos brasileiros que se hospedam neste hotel, há alguns atendentes que falam um pouco de portugues.  Room Tip: Peça um quarto distante da maquina de refrigerante porque tem pessoas que pegam bebidas a noite toda...",localização,1,25,36,Hotel,1
622,"Quartos , serviços e pessoal de primeira qualidaade e profissionalismo.  Desde o bell boy ao diretor-geral.  Uma menção especial para a Srta. Monica Reis competentíssima profissional, sempre presente para atender em todas as solicitações.  Recomendo para todoas as pessoas de bom gosto e exigentes com todos os serviços que um hotel pode lhe fornecer.",quarto,1,0,6,quartos,1
623,"Viva Las Vegas!  A melhor cama de hotel que eu já dormi na vida!   Quarto enorme! Cama gigantesca!   Banheiro limpo e moderno!  Sem falar no Casino excelente que fica em baixo dos nossos pés!   Bom para descansar, ou para aproveitar Vegas como ela deve ser aproveitada!  Só se prepare para acordar cedo no domingo, ao som de muuuita música, afinal, é dia de pool party!   Recomendadíssimo! Faz jus ao nome da rede!  O único porém é que não é na Strip.. Mas nada que um táxi não resolva! Vale a pena!",cama,1,26,30,cama,1
624,"Não ligo tanto para luxo, no entanto já fui a hostels fuleiros que eram melhores que o hotel. A parte interna da portaria você vê e até pensa que é um hotel razoavel, mas o banheiro é deplorável. O quarto tem um aspecto de bem velho também, ficando com receio se a higiene do local é feita devido ao descuido com essas outras coisas. Os funcionários são atenciosos, mas realmente o hotel é bem fraco. Não volto, pois o preço nao é tão mais barato que os demais. Localização ok.",localização,1,462,473,luxo,-1
625,"Reservas iguais resultam em quartos com camas de solteiros ou de casal, vai na sorte... Cama cheia de asas de cupins, dificuldade na recepção de confirmar uma reserva feita há meses (e confirmada por telefone uma semana antes), confusão nos valores combinados... Muita desorganização, infelizmente. Procurarei outro lugar quando voltar na cidade.",recepção,-1,133,141,quartos,-1
626,"O atendimento é razoável, achei a estrutura um pouco ruim (as fotos do site enganam) e o ar condicionado quente não funcionava. Quanta ao serviço de lavanderia, achei meio desorganizado, pegaram minha toalha por engano para lavar, alegaram não ter como encontrá-la e me ofereceram uma do hotel... Pontos positivos: bem localizado, ótimo café da manhã, água quente no chuveiro (na pia, não), wi-fi no quarto e dava pra usar o telefone pra pedir delivery, sem pagar uma taxa muito cara.",serviço,-1,138,145,atendimento,-1
627,"O quarto era antigo, apesar de ter um bom tamanho. Tinha um cheiro estranho. Banheiro espaçoso, porém um pouco velho. Não tinha chuveiro, mas uma banheira com uma ducha de mão. A limpeza não era boa. Não comprei o café da manhã, então não posso opinar sobre. A localização é boa, bem próximo ao metrô. Bem em frente ao hotel tem um restaurante libanês (Assanabel) ótimo.",ducha,1,163,168,quarto,-1
628,"Hotel luxuoso, o qto simples era mto bom. Shopping maravilhoso, equipe eficiente. Somente um problema: esqueci o meu celular no cofre do hotel e mandei um e-mail depois que já tinha ido para Los Angeles e estranhamente me informaram que nada havia sido encontrado no cofre do qto 1381 da Roman Tower . Fizemos o check-out em 29-09 (o check-in foi em 25/9) .",hotel,1,0,5,luxuoso,1
629,"Boa localização, limpeza média, bom café da manhã. Jantar no hotel custa caro (e vem pouco). Apartamentos novos, sem carpete (piso madeira laminada) e equipamentos do banheiro funcionam bem, porém banheiro extremamente pequeno.  De qualquer forma eu recomendo este hotel, que está a uns 700m da Torre Eiffel e possui boas opções perto: Mc Donalds, restaurantes, farmácia, supermercado, lojas de roupas, etc.  Ps.: Existe um funcionário na recepção que fala português (Patrick).",localização,1,4,15,localização,1
630,"Hotel simples mas confortável. O grande destaque é a localização. Ao atravessar a rua você já está no Port Authority Terminal, um terminal de ônibus suburbano. Além de ônibus para diversos locais da cidade e dos arredores, no terminal tem metrô e diversas lojas de conveniência para café da manhã, drogarias e outras facilidades. O hotel fica somente a três quadras da times Sq.",rua,0,82,85,simple,-1
631,"Hotel com ótima localização, perto de vários restaurantes e perto do centro. Café da manhã razoável. Quarto bem aconchegante, só o banheiro é bem simples mas da pro gasto,fiaria de novo pelo custo/beneficio.",hotel,0,0,5,localização,1
632,"O Hotel Bellevue é muito antigo, tem um ar decadente. Tem elevador. Os quartos são pequenos, mas limpos, e muitos não têm ducha, apenas um lavabo. Mas tem boa relação custo-benefício e excelente localização, na região dos Grandes Magazines, a poucos metros da Estação Saint Lazare, da Galleries Lafayette, de resutaurantes, supermercados, e apoucas quadras da Madeleine e da Place de la Concorde.",custo-benefício,1,167,182,antigo,-1
633,"Me hospedei pela segunda vez neste hotel em 2011. O serviço e atendimento continuam excelentes. A localização eh perfeita: próxima a bares, restaurantes e metro. Apesar de nao muito grandes, os quartos e banheiros são modernos, bonitos e bem decorados. Em 2012 viajarei para a Escandinavia com uma parada em Paris, ao final da viagem. Me hospedarei no Cadran uma terceira vez com certeza. Recomendo.",serviço,1,52,59,serviço,1
634,"O hotel é muito bem localizado, com duas estações de metrô (Bastille e Breguet- Sabin) por perto, além de lavanderia, supernercado, bares e restaurantes por perto. Os quartos são pequenos, mas confortáveis o suficiente para um casal sem filhos. A limpeza é ótima e tem wi-fi gratuito para os hóspedes (consegui usar o skype). Os funcionários são atenciosos e falam inglês. O café da manhã é farto e muito bom! Recomendo bastante o hotel!",café da manhã,1,375,388,localização,1
635,"É extremamente bem localizado, com o melhor preço ao redor da times square. Foi reformado, funcionários atenciosos, quartos bons. Tinha muitos brasileiros hospedados lá e tem café da manhã, incluso. Donuts, sucos, café e iogurte. Faltam mesas para todos setar pela manhã, mas se consegue comer. Foi minha quarta estadia em NYC e, com certeza, o melhor custo benefício. Vale a pena.",café da manhã,1,175,188,localização,1
636,"Pessoal da Recepção, Gerência, Manutenção todos muito atenciosos e cordiais. Excelente apartamento família. Excelente localização, de fácil acesso a todos os pontos de Paris. Metrô e RER a 20 ou 50 metros do hotel. Para ir à EuroDisney RER direto sem baldeação. Les Halles tem muitos bistrôs, padarias, supermercados. Aquecimento eficiente (pegamos inverno de -3ºC). Recomendo. No entanto, façam suas reservas com antecedência, pois em cima da hora os valores aumentam significativamente.",apartamento,1,87,98,Recepção,1
637,"Hotel feito somente para dormir, antes de uma viagem, café da manha bem simples, lanches até de madrugada, preço justo pelo serviço prestado. Chuveiro demora demais a aquecer. Cafezinho sempre quentinho na recepção, internet muito ruim. Camas de mola, haja coluna amigos. Recepcionistas atenciosos, além disso o hotel possui translado gratuito para o aeroporto, em 5 min. Você chegá-la.",internet,-1,216,224,dormir,1
638,"Esse hotel fica entre o Luxor e o MGM, em um lugar estratégico da The Strip.   O quarto é muito bom e o hotel foi reformado recentemente. O café da manhã é pago mas a internet e o estacionamento são grátis, o que é um plus.   Se você tem um orçamento um pouco apertado mas não quer abrir mão de um quarto de bom gosto, este hotel é uma boa pedida.  Room Tip: Quartos amplos e novos. Fique atendo para não receber duas camas queen ao invés de uma king.",hotel,1,5,10,quarto,1
639,"O Hotel Nadaud fica num bairro extremamente tranquilo, ao lado do metrô Gambetta e muito próximo do famoso cemitério Père Lachaise. Os atendentes são atenciosos, educados, simpáticos e ajudam em tudo. Dão até dicas de passeios e sugestões de itinerários. Os quartos são simples porém, limpos e confortáveis. Eu sinto saudades desse lugar!  Room Tip: O hotel está muito bem localizado, perto de tudo!",quarto,1,258,264,quartos,-1
640,"O hotel tem ótima localização, fizemos vários passeios a pé a partir dali. Os atendentes da recepção e também do restaurantes são muito simpáticos e atenciosos. O quarto e o banheiro sao espaçosos, novos, limpos e a internet funciona muito bem. O café-da-manhã é delicioso e bem servido. Pretendo voltar outras vezes e recomendo a todos!",hotel,1,2,7,localização,1
641,"Hotel muito requintado,otima localizacao, academia muito boa,transfer para o Wynn e pro Ceasars jah inclusos na taxa de $19,50(resort fee) por dia. Por naum ter cassino o hotel eh muito tranquilo. a resort fee deles inclui: internet,academia,piscina, garrafas de agua a qualquer momento,jornal e os tranfers como citei acima, achei razoavel. Recomendo!",cassino,1,161,168,hotel,1
642,"O hotel fica bem localizado, perto do metro e de ótimos restaurantes. O quarto era espaçoso, silencioso e com o chuveiro separado do banheiro, o que foi bom para um quarto quádruplo. Como pedimos um quarto nos fundos, nao havia elevador ate o segundo andar onde estávamos.  Os atendentes (a maioria) foram bem prestativos.  Nao tomamos café no hotel, preferimos sair e experimentar os cafés ao redor de Pigalle.",chuveiro,1,112,120,localização,1
643,"Esse hotel vale pela sua localização. Oferece quarto padrão e internet grátis somente na recepção. Voltamos ao hotel as 15horas e nosso quarto ainda estava desarrumado. Ao questionar na recepção, fomos informados que o hotel por ser muito grande, tem um período maio de arrumação. Outra dica importante é de que não deve-se mexer no frigobar a não ser que vá consumir (há cobrança com a manipulação)",hotel,1,5,10,localização,1
644,"O check in do hotel mais parece fila de aeroporto em véspera de feriado. O serviço também deixou a desejar - a reserva feita via hotels.com foi inclusive desprezada (o hotel fez a cobrança integral no cartão de crédito e o tal do café da manhã incluído era algum devaneio de César!!!). Enfim, para quem for conhecer Las Vegas a dica é se hospedar no Staybrigde Suites, que oferece preço justo, bom café da manhã, quartos superconfortáveis e pessoal preparado.",serviço,-1,75,82,check in,-1
645,"O grande ponto positivo é a localização, a duas quadras da champ elyses e com vários pontos turísticos (arco, louvre, oarques) podendo ser visitados a pé. Os demais serviços (quarto, recepção, internet e café da manhã) não passam de razoáveis. Uma boa escolha se você vai passar a maior parte do tempo na rua.",quarto,1,175,181,localização,1
646,"O hotel tem quartos limpos, embora pequenos ( como tantos outros em Paris). A velocidade de conexão da internet, gratuita para os hóspedes, é boa e, ao contrário do senso comum, os atendentes são de uma forma geral bastante cordiais. O hotel é próximo de uma importante estação de metrô e há diversas opções de restaurante por perto, para quando se chegar de viagem e não quiser sair para muito longe. Voltaria para esse hotel.",hotel,1,2,7,quartos limpos,1
647,"Latour Maubourg e incrivelmente aconchegante! O quarto e maravilhoso, e todo o hotel e muito bem decorado, mostrando um pouco de Paris em todos os comodos.  O atendimento e impecavel, assim como o servico de quarto! O cafe da manha e maravilhoso e toda essa atmosfera ajudou a deixar minha Lua de Mel realmente inesquecivel!  Agradeco a toda a equipe desse hotel singular!",quarto,1,48,54,incredivelmente,1
648,"Muito bom e excelente localização”perto de td que eu queria macys ,t.j.maxx que amo de paixão tudo de bom eu amo nova york .O serviço de limpeza é muito eficiente. Fica ao lado de uma estação do metrô,não posso esquecer da magnolia pudim de banana ótmo.  Room Tip: só tem quartos com carpete ,e janelas não abrem de ruim só isso o resto é ok",limpeza,1,137,144,localização,1
649,"O hotel é muito bem localizado, a uma quadra da Gare de Lyon, e 02 quadras do Carrefour. O quarto, apesar de pequeno, é maior do que os outros hotés que havia pesquisado, e é bem confortável. Idem para o banheiro. Tudo muito limpo e sempre bem arrumado. Internet grátis no hotel (voce se conecta por uma hora, mas pode renovar quantas vezes quiser). Fomos muito bem atendidos pelo pessoal da recepção, sempre muito prestativos. Recomendo.",quarto,1,91,97,localização,1
650,"chao muito sujo do quarto e do banheiro.  quarto muito agradavel. boa localizacao e bom atendimento.  hotel com uma arquitetura peculiar, meio confiso de andar por dentro dele e ter acesso aos quartos.  nao pude usufruir do cafe da manha.   a internet estava com defeito e nao funcionou e os funcionarios nao sabiam falar espanhol.....nenhum deles!!! absurdo isso!!",internet,-1,243,251,chão,-1
651,"O hotel é muito bom, os atendentes são educadíssimos e quase todos falam inglês perfeitamente. Mas o melhor do hotel, sem dúvida, é a localização: perto de tudo!!! Dá para ir a pé ao Louvre, Jardin des Tulleries, Jardin du Luxembourg, Îlle de la Cité, Îlle St Louis, caminhar a beira do Senna... Os quartos são razoavelmente espaçosos, considerando-se que estamos em Paris... o banheiro é ótimo, com banheira, inclusive. Enfim, quero ficar sempre lá!!!",quarto,1,299,305,hotel,1
652,"O hotel precisa passar urgentemente por reforma, o hotel serve para quem está de passagem pela cidade só para dormir, como foi o meu caso. O atendimento foi bom, e o café da manhã tava bom, o quarto é super simples.",quarto,1,192,198,reforma,-1
653,"O hotel é para festa!! Se quiser sossego, não vá! Os quartos são temáticos, muito legais e amplos! O hotel segue a mesma linha, cheio de decoração de rock! Muito legal mesmo!! Várias lanchonetes dentro do hotel, ponto positivo! A academia tb é muito boa! Agora, minha dica é, quem puder aproveitar a pool party de domingo, Rehab, faça!!! É definitivamente o melhor do hotel!!!!!",hotel,0,2,7,hotel,1
654,"Estive em Nova York em Jan/13 em férias com a minha familia. Apesar do frio intenso o hotel era muito acolhedor. Serviços de primeira qualidade e funcionários excelentes, além de acomodações muito confortáveis.  Localização excelente, perto da Broadway.  Recomendo.  Room Tip: Prefira os quartos com vista para a praça",quarto,1,288,294,frio intenso,-1
655,"O Hotel de Saints Peres é muito bem localizado (Saint Germain), fica num prédio antigo, tipicamente frances. O Quarto é bom, banheiro também, mas o destaque fica para os funcionários, todos muito atenciosos e prontos para ajudar os hóspedes (recebemos excelentes indicações de restaurantes nas proximidades do Hotel). Recomendo.  Room Tip: Peça o quarto superior, tem uma relação custo-benefício interessante.",hotel,1,2,7,localização,1
656,"Excelente localização, muito próximo de estação do metrô, com restaurantes, padarias, lanchonetes e outros serviços nas redondezas. Boas instalações com excelente manutenção e limpeza. Destaque para preocupação com pequenos detalhes, como disponibilidade de toalhas de rosto e fraldas descartáveis no banheiro comum do hall.  Room Tip: Reservar com antecedência",instalações,1,137,148,localização,1
657,"Limpeza, atendimento e localização são os principais atrativos. Com design diferenciado, o hotel Verite é acolhedor, mesmo dentro de uma megalópole como Nova York. A pé, podemos ir para o Sul até o marco zero ou ao Norte, até o Central Park. é só ter disposição! Voltaria mais vezes, pois sei que fiz a escolha certa.",limpeza,1,0,7,limpeza,1
658,"Escolhi este hotel em função das dicas que outros viajantes colocaram aqui no trip advisor. Fiquei muito bem impressionada com o hotel. O quarto e o banheiro são grandes e confortáveis, tudo super limpo, rua silenciosa, funcionários simpáticos e excelente localização. Dá pra ir a pé a maior parte dos pontos turísticos.  Não e nenhuma pechincha, mas acho que valeu a relação custo-benefício. O café da manhã poderia ser mais barato.  Recomendo de olhos fechados.",hotel,1,13,18,dicas,1
659,"As pessoas extremamente simpáticas e atenciosas, o café da manhã muito bom. todos sempre dispostos a orientar os turistas dando boas dicas e os quartos sempre limpos e o ambiente muito agradavél todos os funcionários falam inglês, não é um hotel típico frances, pois é novo, e fica a 5 minutos do metro, e dá para andar até o centro de PARIS",turista,0,113,120,simpáticas,1
660,Padrão Ibis. Perto da Estação de Metro somente 5 minutos a pé. A grande vantagem deste Hotel é que fica em frente a um shopping center com todas as vantagens para compras e alimentação.  Tem também varias alternativas de fast-food nas proximidades e restaurantes.  Room Tip: Pedir apartamento em andar alto e de frente para a Av Italie,padrão,1,0,6,Padrão Ibis,-1
661,"Excelente localizaçao,atendimeno cortes,concierge gentilissimo.  Querto espaçoso,silencioso,vista maravilhosa !  Banheiro luxuoso,amenities de qualidade.  Restaurante Pierre Gaignere decepcionante!  Cafe da manha bem variado,delicioso,embora de preço elevado($38 por pessoa)  Room Tip: Escolher apartamento a partir do 15 para aproveitar a vista. Observaçao: fiz esta avaliaçao a pouco...",preço,1,245,250,localizaçao,1
662,"Excelente localização, com lojas e restaurantes maravilhosos por perto e duas linhas de metro. O café da manhã é bom. Nosso quarto era confortável, com duas camas de solteiro colocadas lado a lado. Faltava uma boa luz para leitura. O WI FI no quarto era muito fraco e desligava com frequência. Banheiro grande e confortável. Serviço simpático. O preço era muito bom em comparação com outros hotéis do mesmo nível.",localização,1,10,21,localização,1
663,"Gostámos da Localização.  O Hotel apresenta alguns sinais de envelhecimento, nomeadamente de degradação de ombreiras e portas.  A limpeza do apartamento para quem fica mais de 4 dias e menos de 8 dias não existe! Nós ficamos 9 dias só foram ao apt no penúltimo dia e não foi uma arrumação como noutros hóteis.  Os funcionários foram prestáveis.",localização,1,12,23,Localização,1
664,"Eu tive uma ótima estadia em Pavillon Saint Louis Bastille. O hotel foi recentemente renovado e munto bem conservado, o meu quarto estava muto bem limpo e com uma bandeja de hospitalidade para o chá / cafè e WI-FI gratis. O pequeno almoço era muto bom e eu apreciei o serviço de transporte para o aeroporto (a um preço razoável).",almoço,1,232,238,estadia,1
665,"O Hotel fica em frente a rodoviária de Porto alegre, qualquer saidinha a noite fica impossível devido a proximidade da região central. Ideal para estadas rápidas viajando à negocios. Como o hotel fica na região central, o transito em horários de pico é muito complicado, ficando difíciu a locomoção e o transporte.",horário,0,234,241,rodoviária,-1
666,"Adoramos o hotel! Preço bom, café da manhã deliciosoooo, atendimento de primeiraaaa, quartos perfeitamente limpos, decoração impecavel, camas deliciosasss, localização fantastica com 2 estações de metro pertinho, monoprix na esquina, mercadinhos, restaurante italiano, padarias maravilhosas, AMEIIIIIII",quarto,1,85,91,hotel,1
667,"Gostei da proximidade com o comércio, rodoviária e ponto de ônibus. No hotel o café da manhã deixa a desejar... pão duro, bolo ruim. pouca variação de sucos ..e na av farrapos é difícil circular depois das 19h, o maior complicador é o viaduto q aproxima muitos usuários d droga, e prostituição.Porém se você não pretende sai a noite e uma opção pois fica perto da rodoviária de Porto Alegre o principal inconveniente e os 5 andares sem elevador.",hotel,0,71,76,proximidade com o comércio,1
668,"amei!!! fui muito feliz na escolha do hotel. Tem excelente localização (perto de todo o centro comercial e de atrações para crianças e adultos se divertirem); os hóspedes são bem selecionados (educados e silenciosos); e seus funcionários são educados e prestativos. Fiquei em um andar alto, ouvi um pouco de barulho, mas não existe silêncio total em NYC, certo? Vale o preço.",localização,1,59,70,hotel,1
669,"A localização é excepcional, a melhor que já vi, fica ao lado do metrô, exatamente ao lado. O quarto é pequeno, porém para quem passeia o dia inteiro e só quer chegar e relaxar é ótimo. Dispõe de uma banheira também. O café da manhã é maravilhoso! muito bom! Recomendo e com certeza ficaria novamente!",café da manhã,1,219,232,localização,1
670,"Quem conhece o Ibis sabe do seu padrão, mas as três opções de restaurantes em um só hotel me deixou bem satisfeita.  Também achei a localização excelente, próximo a estação de metrô e comércio local à disposição, muito próximo ao hotel e também bicicletário.  Quem não quiser tomar o café da manhã no próprio hotel, há uma rotisserie e um café a pouco metros, com os famosos croissants.  Pra não falar na diferença de preço, alfo em torno de 300 euros de economia.",hotel,1,84,89,padrão,-1
671,"Fizemos reserva com 15 dias de antecedência, chegamos na madruga e não havia a nossa reserva e o hotel sem vagas, e olhe que nos foi confirmado a vaga por email, o porteiro com educação ( única coisa que achamos legal, Sr José) nos indicou um hotel péssimo e muito inferior ao real, impossível de hospedar,onde tinha até pessoas dormindo na calçada em frente a portaria, além da bagunça na rua, retornamos no mesmo hotel (real) e nos foi indicado um novo hotel, só que não fomos ressarcidos da diferença de valor, somente da primeira estadia... Ficamos no prejuízo alem de termos passado por cansaço físico e insegurança já que estávamos em cidade desconhecida e era madrugada.",rua,-1,390,393,reserva,-1
672,"Pontos negativos: não limpam o quadro, não tem elevador, servem primeiro os americanos, a cozinha e velha e deixa a desejar na higiene.  Ponto positivo: localização!!! Localização central, rua tranquila e próxima a diversos transportes.  They don´t clean the room. They don´t have lift, The blond women serve the men before the other guests. If you are alone whith your kids, you are in a bad situation.  The only good point is the location!",rua,1,189,192,limpam o quadro,-1
