,comentario,aspecto_llm,polaridade_llm
1064,"ESTE HOTEL NAO É 3 ESTRELAS E NEM SE PODE DIZER QUE TEM ELEVADOR, POIS O MESMO NAO PARA NO SEU ANDAR, FUNCIONA ASSIM: 2/3 OU 3/4, O ELEVADOR PARA NO MEIO ENTRE O 2° E O 3° E DEPOIS VOCE TEM QUE SUBRIR OU DESCER ESCADAS E ESTAS SÃO GRANDES.. HOTEL SEM ACESSIBILIDADE, IMPOSSIVEL PARA PESSOAS QUE NAO PODEM SUBIR ESCADAS OU QUE TENHAM MALAS . NÃO RECOMENDO A NENHUM VIAJANTE..",acessibilidade,-1
1065,"ESTE HOTEL NAO É 3 ESTRELAS E NEM SE PODE DIZER QUE TEM ELEVADOR, POIS O MESMO NAO PARA NO SEU ANDAR, FUNCIONA ASSIM: 2/3 OU 3/4, O ELEVADOR PARA NO MEIO ENTRE O 2° E O 3° E DEPOIS VOCE TEM QUE SUBRIR OU DESCER ESCADAS E ESTAS SÃO GRANDES.. HOTEL SEM ACESSIBILIDADE, IMPOSSIVEL PARA PESSOAS QUE NAO PODEM SUBIR ESCADAS OU QUE TENHAM MALAS . NÃO RECOMENDO A NENHUM VIAJANTE..",hotel,-1
1066,"ESTE HOTEL NAO É 3 ESTRELAS E NEM SE PODE DIZER QUE TEM ELEVADOR, POIS O MESMO NAO PARA NO SEU ANDAR, FUNCIONA ASSIM: 2/3 OU 3/4, O ELEVADOR PARA NO MEIO ENTRE O 2° E O 3° E DEPOIS VOCE TEM QUE SUBRIR OU DESCER ESCADAS E ESTAS SÃO GRANDES.. HOTEL SEM ACESSIBILIDADE, IMPOSSIVEL PARA PESSOAS QUE NAO PODEM SUBIR ESCADAS OU QUE TENHAM MALAS . NÃO RECOMENDO A NENHUM VIAJANTE..",elevador,-1
1067,"ESTE HOTEL NAO É 3 ESTRELAS E NEM SE PODE DIZER QUE TEM ELEVADOR, POIS O MESMO NAO PARA NO SEU ANDAR, FUNCIONA ASSIM: 2/3 OU 3/4, O ELEVADOR PARA NO MEIO ENTRE O 2° E O 3° E DEPOIS VOCE TEM QUE SUBRIR OU DESCER ESCADAS E ESTAS SÃO GRANDES.. HOTEL SEM ACESSIBILIDADE, IMPOSSIVEL PARA PESSOAS QUE NAO PODEM SUBIR ESCADAS OU QUE TENHAM MALAS . NÃO RECOMENDO A NENHUM VIAJANTE..",acessibilidade,-1
1068,"ESTE HOTEL NAO É 3 ESTRELAS E NEM SE PODE DIZER QUE TEM ELEVADOR, POIS O MESMO NAO PARA NO SEU ANDAR, FUNCIONA ASSIM: 2/3 OU 3/4, O ELEVADOR PARA NO MEIO ENTRE O 2° E O 3° E DEPOIS VOCE TEM QUE SUBRIR OU DESCER ESCADAS E ESTAS SÃO GRANDES.. HOTEL SEM ACESSIBILIDADE, IMPOSSIVEL PARA PESSOAS QUE NAO PODEM SUBIR ESCADAS OU QUE TENHAM MALAS . NÃO RECOMENDO A NENHUM VIAJANTE..",recomendação,-1
1069,"Este hotel recomendo para quem nunca esteve em New York , é perto de tudo voce consegue se locomover sem precisar usar onibus ou táxis , é próximo ao ebentos da times square e de todas as linhas de metrô , o Hotel tem um excelente serviço de concierge e a estrutura é boa em relação aos outros hotés de New York. Pesquise bem em vários sites este mesmo hotel você pode achar diferenças significativas .",hotel,1
1070,"Este hotel recomendo para quem nunca esteve em New York , é perto de tudo voce consegue se locomover sem precisar usar onibus ou táxis , é próximo ao ebentos da times square e de todas as linhas de metrô , o Hotel tem um excelente serviço de concierge e a estrutura é boa em relação aos outros hotés de New York. Pesquise bem em vários sites este mesmo hotel você pode achar diferenças significativas .",locomover,1
1071,"Este hotel recomendo para quem nunca esteve em New York , é perto de tudo voce consegue se locomover sem precisar usar onibus ou táxis , é próximo ao ebentos da times square e de todas as linhas de metrô , o Hotel tem um excelente serviço de concierge e a estrutura é boa em relação aos outros hotés de New York. Pesquise bem em vários sites este mesmo hotel você pode achar diferenças significativas .",serviço de concierge,1
1072,"Este hotel recomendo para quem nunca esteve em New York , é perto de tudo voce consegue se locomover sem precisar usar onibus ou táxis , é próximo ao ebentos da times square e de todas as linhas de metrô , o Hotel tem um excelente serviço de concierge e a estrutura é boa em relação aos outros hotés de New York. Pesquise bem em vários sites este mesmo hotel você pode achar diferenças significativas .",estrutura,1
1073,"Este hotel recomendo para quem nunca esteve em New York , é perto de tudo voce consegue se locomover sem precisar usar onibus ou táxis , é próximo ao ebentos da times square e de todas as linhas de metrô , o Hotel tem um excelente serviço de concierge e a estrutura é boa em relação aos outros hotés de New York. Pesquise bem em vários sites este mesmo hotel você pode achar diferenças significativas .",preço,-1
1074,"Este hotel recomendo para quem nunca esteve em New York , é perto de tudo voce consegue se locomover sem precisar usar onibus ou táxis , é próximo ao ebentos da times square e de todas as linhas de metrô , o Hotel tem um excelente serviço de concierge e a estrutura é boa em relação aos outros hotés de New York. Pesquise bem em vários sites este mesmo hotel você pode achar diferenças significativas .",hotel,1
1075,"Este hotel recomendo para quem nunca esteve em New York , é perto de tudo voce consegue se locomover sem precisar usar onibus ou táxis , é próximo ao ebentos da times square e de todas as linhas de metrô , o Hotel tem um excelente serviço de concierge e a estrutura é boa em relação aos outros hotés de New York. Pesquise bem em vários sites este mesmo hotel você pode achar diferenças significativas .",locomover,1
1076,"Este hotel recomendo para quem nunca esteve em New York , é perto de tudo voce consegue se locomover sem precisar usar onibus ou táxis , é próximo ao ebentos da times square e de todas as linhas de metrô , o Hotel tem um excelente serviço de concierge e a estrutura é boa em relação aos outros hotés de New York. Pesquise bem em vários sites este mesmo hotel você pode achar diferenças significativas .",serviço de concierge,1
1077,"Este hotel recomendo para quem nunca esteve em New York , é perto de tudo voce consegue se locomover sem precisar usar onibus ou táxis , é próximo ao ebentos da times square e de todas as linhas de metrô , o Hotel tem um excelente serviço de concierge e a estrutura é boa em relação aos outros hotés de New York. Pesquise bem em vários sites este mesmo hotel você pode achar diferenças significativas .",estrutura,1
1078,"Este hotel recomendo para quem nunca esteve em New York , é perto de tudo voce consegue se locomover sem precisar usar onibus ou táxis , é próximo ao ebentos da times square e de todas as linhas de metrô , o Hotel tem um excelente serviço de concierge e a estrutura é boa em relação aos outros hotés de New York. Pesquise bem em vários sites este mesmo hotel você pode achar diferenças significativas .",diferenças significativas,-1
1079,Estive com minha familia hospedado neste hotel. Muito precário o serviço. Sujo e pouca higienie. Nao recomendo para ninguém ficamos alérgicos a picada de inseto. A unica coisa que funciona bem é a internet.,serviço,-1
1080,Estive com minha familia hospedado neste hotel. Muito precário o serviço. Sujo e pouca higienie. Nao recomendo para ninguém ficamos alérgicos a picada de inseto. A unica coisa que funciona bem é a internet.,sujo,-1
1081,Estive com minha familia hospedado neste hotel. Muito precário o serviço. Sujo e pouca higienie. Nao recomendo para ninguém ficamos alérgicos a picada de inseto. A unica coisa que funciona bem é a internet.,higiene,-1
1082,Estive com minha familia hospedado neste hotel. Muito precário o serviço. Sujo e pouca higienie. Nao recomendo para ninguém ficamos alérgicos a picada de inseto. A unica coisa que funciona bem é a internet.,recomendo,-1
1083,Estive com minha familia hospedado neste hotel. Muito precário o serviço. Sujo e pouca higienie. Nao recomendo para ninguém ficamos alérgicos a picada de inseto. A unica coisa que funciona bem é a internet.,alérgicos,-1
1084,Estive com minha familia hospedado neste hotel. Muito precário o serviço. Sujo e pouca higienie. Nao recomendo para ninguém ficamos alérgicos a picada de inseto. A unica coisa que funciona bem é a internet.,internet,1
1085,Estive com minha familia hospedado neste hotel. Muito precário o serviço. Sujo e pouca higienie. Nao recomendo para ninguém ficamos alérgicos a picada de inseto. A unica coisa que funciona bem é a internet.,serviço,-1
1086,Estive com minha familia hospedado neste hotel. Muito precário o serviço. Sujo e pouca higienie. Nao recomendo para ninguém ficamos alérgicos a picada de inseto. A unica coisa que funciona bem é a internet.,sujo,-1
1087,Estive com minha familia hospedado neste hotel. Muito precário o serviço. Sujo e pouca higienie. Nao recomendo para ninguém ficamos alérgicos a picada de inseto. A unica coisa que funciona bem é a internet.,higiene,-1
1088,Estive com minha familia hospedado neste hotel. Muito precário o serviço. Sujo e pouca higienie. Nao recomendo para ninguém ficamos alérgicos a picada de inseto. A unica coisa que funciona bem é a internet.,recomendo,-1
1089,Estive com minha familia hospedado neste hotel. Muito precário o serviço. Sujo e pouca higienie. Nao recomendo para ninguém ficamos alérgicos a picada de inseto. A unica coisa que funciona bem é a internet.,alérgicos,-1
1090,Estive com minha familia hospedado neste hotel. Muito precário o serviço. Sujo e pouca higienie. Nao recomendo para ninguém ficamos alérgicos a picada de inseto. A unica coisa que funciona bem é a internet.,internet,1
1091,Estive com minha familia hospedado neste hotel. Muito precário o serviço. Sujo e pouca higienie. Nao recomendo para ninguém ficamos alérgicos a picada de inseto. A unica coisa que funciona bem é a internet.,serviço,-1
1092,Estive com minha familia hospedado neste hotel. Muito precário o serviço. Sujo e pouca higienie. Nao recomendo para ninguém ficamos alérgicos a picada de inseto. A unica coisa que funciona bem é a internet.,sujo,-1
1093,Estive com minha familia hospedado neste hotel. Muito precário o serviço. Sujo e pouca higienie. Nao recomendo para ninguém ficamos alérgicos a picada de inseto. A unica coisa que funciona bem é a internet.,higiene,-1
1094,Estive com minha familia hospedado neste hotel. Muito precário o serviço. Sujo e pouca higienie. Nao recomendo para ninguém ficamos alérgicos a picada de inseto. A unica coisa que funciona bem é a internet.,recomendo,-1
1095,Estive com minha familia hospedado neste hotel. Muito precário o serviço. Sujo e pouca higienie. Nao recomendo para ninguém ficamos alérgicos a picada de inseto. A unica coisa que funciona bem é a internet.,alérgicos,-1
1096,Estive com minha familia hospedado neste hotel. Muito precário o serviço. Sujo e pouca higienie. Nao recomendo para ninguém ficamos alérgicos a picada de inseto. A unica coisa que funciona bem é a internet.,internet,1
1097,"Estive no início de janeiro hospedada no Hotel Affinia Dumont e voltei totalmente satisfeita. Os quartos são excelentes, as camas maravilhosas, além da opção de escolher os travesseiros. Sem contar que o apartamento conta com uma sala e uma cozinha completamente equipada. Osatendentes são extremamentes simpáticos e atenciosos, merecendo destaque o Gilbert que faz com que você sinta como se o conhecesse há anos. Room Tip: Vale a pena pegar um apartamento com sala e cozinha.",quartos,1
1098,"Estive no início de janeiro hospedada no Hotel Affinia Dumont e voltei totalmente satisfeita. Os quartos são excelentes, as camas maravilhosas, além da opção de escolher os travesseiros. Sem contar que o apartamento conta com uma sala e uma cozinha completamente equipada. Osatendentes são extremamentes simpáticos e atenciosos, merecendo destaque o Gilbert que faz com que você sinta como se o conhecesse há anos. Room Tip: Vale a pena pegar um apartamento com sala e cozinha.",camas,1
1099,"Estive no início de janeiro hospedada no Hotel Affinia Dumont e voltei totalmente satisfeita. Os quartos são excelentes, as camas maravilhosas, além da opção de escolher os travesseiros. Sem contar que o apartamento conta com uma sala e uma cozinha completamente equipada. Osatendentes são extremamentes simpáticos e atenciosos, merecendo destaque o Gilbert que faz com que você sinta como se o conhecesse há anos. Room Tip: Vale a pena pegar um apartamento com sala e cozinha.",travesseiros,1
1100,"Estive no início de janeiro hospedada no Hotel Affinia Dumont e voltei totalmente satisfeita. Os quartos são excelentes, as camas maravilhosas, além da opção de escolher os travesseiros. Sem contar que o apartamento conta com uma sala e uma cozinha completamente equipada. Osatendentes são extremamentes simpáticos e atenciosos, merecendo destaque o Gilbert que faz com que você sinta como se o conhecesse há anos. Room Tip: Vale a pena pegar um apartamento com sala e cozinha.",apto\s+sala\+cozinha,1
1101,"Estive no início de janeiro hospedada no Hotel Affinia Dumont e voltei totalmente satisfeita. Os quartos são excelentes, as camas maravilhosas, além da opção de escolher os travesseiros. Sem contar que o apartamento conta com uma sala e uma cozinha completamente equipada. Osatendentes são extremamentes simpáticos e atenciosos, merecendo destaque o Gilbert que faz com que você sinta como se o conhecesse há anos. Room Tip: Vale a pena pegar um apartamento com sala e cozinha.",atendentes,1
1102,"Estive no início de janeiro hospedada no Hotel Affinia Dumont e voltei totalmente satisfeita. Os quartos são excelentes, as camas maravilhosas, além da opção de escolher os travesseiros. Sem contar que o apartamento conta com uma sala e uma cozinha completamente equipada. Osatendentes são extremamentes simpáticos e atenciosos, merecendo destaque o Gilbert que faz com que você sinta como se o conhecesse há anos. Room Tip: Vale a pena pegar um apartamento com sala e cozinha.",Gilbert,1
1103,"Estive no início de janeiro hospedada no Hotel Affinia Dumont e voltei totalmente satisfeita. Os quartos são excelentes, as camas maravilhosas, além da opção de escolher os travesseiros. Sem contar que o apartamento conta com uma sala e uma cozinha completamente equipada. Osatendentes são extremamentes simpáticos e atenciosos, merecendo destaque o Gilbert que faz com que você sinta como se o conhecesse há anos. Room Tip: Vale a pena pegar um apartamento com sala e cozinha.",Room Tip,-1
1104,"Estive no início de janeiro hospedada no Hotel Affinia Dumont e voltei totalmente satisfeita. Os quartos são excelentes, as camas maravilhosas, além da opção de escolher os travesseiros. Sem contar que o apartamento conta com uma sala e uma cozinha completamente equipada. Osatendentes são extremamentes simpáticos e atenciosos, merecendo destaque o Gilbert que faz com que você sinta como se o conhecesse há anos. Room Tip: Vale a pena pegar um apartamento com sala e cozinha.",quartos,1
1105,"Estive no início de janeiro hospedada no Hotel Affinia Dumont e voltei totalmente satisfeita. Os quartos são excelentes, as camas maravilhosas, além da opção de escolher os travesseiros. Sem contar que o apartamento conta com uma sala e uma cozinha completamente equipada. Osatendentes são extremamentes simpáticos e atenciosos, merecendo destaque o Gilbert que faz com que você sinta como se o conhecesse há anos. Room Tip: Vale a pena pegar um apartamento com sala e cozinha.",camas,1
1106,"Estive no início de janeiro hospedada no Hotel Affinia Dumont e voltei totalmente satisfeita. Os quartos são excelentes, as camas maravilhosas, além da opção de escolher os travesseiros. Sem contar que o apartamento conta com uma sala e uma cozinha completamente equipada. Osatendentes são extremamentes simpáticos e atenciosos, merecendo destaque o Gilbert que faz com que você sinta como se o conhecesse há anos. Room Tip: Vale a pena pegar um apartamento com sala e cozinha.",travesseiros,1
1107,"Estive no início de janeiro hospedada no Hotel Affinia Dumont e voltei totalmente satisfeita. Os quartos são excelentes, as camas maravilhosas, além da opção de escolher os travesseiros. Sem contar que o apartamento conta com uma sala e uma cozinha completamente equipada. Osatendentes são extremamentes simpáticos e atenciosos, merecendo destaque o Gilbert que faz com que você sinta como se o conhecesse há anos. Room Tip: Vale a pena pegar um apartamento com sala e cozinha.",apartamento,1
1108,"Estive no início de janeiro hospedada no Hotel Affinia Dumont e voltei totalmente satisfeita. Os quartos são excelentes, as camas maravilhosas, além da opção de escolher os travesseiros. Sem contar que o apartamento conta com uma sala e uma cozinha completamente equipada. Osatendentes são extremamentes simpáticos e atenciosos, merecendo destaque o Gilbert que faz com que você sinta como se o conhecesse há anos. Room Tip: Vale a pena pegar um apartamento com sala e cozinha.",sala,1
1109,"Estive no início de janeiro hospedada no Hotel Affinia Dumont e voltei totalmente satisfeita. Os quartos são excelentes, as camas maravilhosas, além da opção de escolher os travesseiros. Sem contar que o apartamento conta com uma sala e uma cozinha completamente equipada. Osatendentes são extremamentes simpáticos e atenciosos, merecendo destaque o Gilbert que faz com que você sinta como se o conhecesse há anos. Room Tip: Vale a pena pegar um apartamento com sala e cozinha.",cozinha,1
1110,"Estive no início de janeiro hospedada no Hotel Affinia Dumont e voltei totalmente satisfeita. Os quartos são excelentes, as camas maravilhosas, além da opção de escolher os travesseiros. Sem contar que o apartamento conta com uma sala e uma cozinha completamente equipada. Osatendentes são extremamentes simpáticos e atenciosos, merecendo destaque o Gilbert que faz com que você sinta como se o conhecesse há anos. Room Tip: Vale a pena pegar um apartamento com sala e cozinha.",atendentes,1
1111,"Estive no início de janeiro hospedada no Hotel Affinia Dumont e voltei totalmente satisfeita. Os quartos são excelentes, as camas maravilhosas, além da opção de escolher os travesseiros. Sem contar que o apartamento conta com uma sala e uma cozinha completamente equipada. Osatendentes são extremamentes simpáticos e atenciosos, merecendo destaque o Gilbert que faz com que você sinta como se o conhecesse há anos. Room Tip: Vale a pena pegar um apartamento com sala e cozinha.",Gilbert,1
1112,"Estive no início de janeiro hospedada no Hotel Affinia Dumont e voltei totalmente satisfeita. Os quartos são excelentes, as camas maravilhosas, além da opção de escolher os travesseiros. Sem contar que o apartamento conta com uma sala e uma cozinha completamente equipada. Osatendentes são extremamentes simpáticos e atenciosos, merecendo destaque o Gilbert que faz com que você sinta como se o conhecesse há anos. Room Tip: Vale a pena pegar um apartamento com sala e cozinha.",Room Tip: Vale a pena,1
1113,"Estive no início de janeiro hospedada no Hotel Affinia Dumont e voltei totalmente satisfeita. Os quartos são excelentes, as camas maravilhosas, além da opção de escolher os travesseiros. Sem contar que o apartamento conta com uma sala e uma cozinha completamente equipada. Osatendentes são extremamentes simpáticos e atenciosos, merecendo destaque o Gilbert que faz com que você sinta como se o conhecesse há anos. Room Tip: Vale a pena pegar um apartamento com sala e cozinha.",quartos,1
1114,"Estive no início de janeiro hospedada no Hotel Affinia Dumont e voltei totalmente satisfeita. Os quartos são excelentes, as camas maravilhosas, além da opção de escolher os travesseiros. Sem contar que o apartamento conta com uma sala e uma cozinha completamente equipada. Osatendentes são extremamentes simpáticos e atenciosos, merecendo destaque o Gilbert que faz com que você sinta como se o conhecesse há anos. Room Tip: Vale a pena pegar um apartamento com sala e cozinha.",camas,1
1115,"Estive no início de janeiro hospedada no Hotel Affinia Dumont e voltei totalmente satisfeita. Os quartos são excelentes, as camas maravilhosas, além da opção de escolher os travesseiros. Sem contar que o apartamento conta com uma sala e uma cozinha completamente equipada. Osatendentes são extremamentes simpáticos e atenciosos, merecendo destaque o Gilbert que faz com que você sinta como se o conhecesse há anos. Room Tip: Vale a pena pegar um apartamento com sala e cozinha.",travesseiros,1
1116,"Estive no início de janeiro hospedada no Hotel Affinia Dumont e voltei totalmente satisfeita. Os quartos são excelentes, as camas maravilhosas, além da opção de escolher os travesseiros. Sem contar que o apartamento conta com uma sala e uma cozinha completamente equipada. Osatendentes são extremamentes simpáticos e atenciosos, merecendo destaque o Gilbert que faz com que você sinta como se o conhecesse há anos. Room Tip: Vale a pena pegar um apartamento com sala e cozinha.",sala,1
1117,"Estive no início de janeiro hospedada no Hotel Affinia Dumont e voltei totalmente satisfeita. Os quartos são excelentes, as camas maravilhosas, além da opção de escolher os travesseiros. Sem contar que o apartamento conta com uma sala e uma cozinha completamente equipada. Osatendentes são extremamentes simpáticos e atenciosos, merecendo destaque o Gilbert que faz com que você sinta como se o conhecesse há anos. Room Tip: Vale a pena pegar um apartamento com sala e cozinha.",cozinha,1
1118,"Estive no início de janeiro hospedada no Hotel Affinia Dumont e voltei totalmente satisfeita. Os quartos são excelentes, as camas maravilhosas, além da opção de escolher os travesseiros. Sem contar que o apartamento conta com uma sala e uma cozinha completamente equipada. Osatendentes são extremamentes simpáticos e atenciosos, merecendo destaque o Gilbert que faz com que você sinta como se o conhecesse há anos. Room Tip: Vale a pena pegar um apartamento com sala e cozinha.",atendentes,1
1119,"Estive no início de janeiro hospedada no Hotel Affinia Dumont e voltei totalmente satisfeita. Os quartos são excelentes, as camas maravilhosas, além da opção de escolher os travesseiros. Sem contar que o apartamento conta com uma sala e uma cozinha completamente equipada. Osatendentes são extremamentes simpáticos e atenciosos, merecendo destaque o Gilbert que faz com que você sinta como se o conhecesse há anos. Room Tip: Vale a pena pegar um apartamento com sala e cozinha.",Gilbert,1
1120,"Estive no início de janeiro hospedada no Hotel Affinia Dumont e voltei totalmente satisfeita. Os quartos são excelentes, as camas maravilhosas, além da opção de escolher os travesseiros. Sem contar que o apartamento conta com uma sala e uma cozinha completamente equipada. Osatendentes são extremamentes simpáticos e atenciosos, merecendo destaque o Gilbert que faz com que você sinta como se o conhecesse há anos. Room Tip: Vale a pena pegar um apartamento com sala e cozinha.",Room Tip: Vale a pena,1
1121,"Estive no início de janeiro hospedada no Hotel Affinia Dumont e voltei totalmente satisfeita. Os quartos são excelentes, as camas maravilhosas, além da opção de escolher os travesseiros. Sem contar que o apartamento conta com uma sala e uma cozinha completamente equipada. Osatendentes são extremamentes simpáticos e atenciosos, merecendo destaque o Gilbert que faz com que você sinta como se o conhecesse há anos. Room Tip: Vale a pena pegar um apartamento com sala e cozinha.",quartos,1
1122,"Estive no início de janeiro hospedada no Hotel Affinia Dumont e voltei totalmente satisfeita. Os quartos são excelentes, as camas maravilhosas, além da opção de escolher os travesseiros. Sem contar que o apartamento conta com uma sala e uma cozinha completamente equipada. Osatendentes são extremamentes simpáticos e atenciosos, merecendo destaque o Gilbert que faz com que você sinta como se o conhecesse há anos. Room Tip: Vale a pena pegar um apartamento com sala e cozinha.",camas,1
1123,"Estive no início de janeiro hospedada no Hotel Affinia Dumont e voltei totalmente satisfeita. Os quartos são excelentes, as camas maravilhosas, além da opção de escolher os travesseiros. Sem contar que o apartamento conta com uma sala e uma cozinha completamente equipada. Osatendentes são extremamentes simpáticos e atenciosos, merecendo destaque o Gilbert que faz com que você sinta como se o conhecesse há anos. Room Tip: Vale a pena pegar um apartamento com sala e cozinha.",travesseiros,1
1124,"Estive no início de janeiro hospedada no Hotel Affinia Dumont e voltei totalmente satisfeita. Os quartos são excelentes, as camas maravilhosas, além da opção de escolher os travesseiros. Sem contar que o apartamento conta com uma sala e uma cozinha completamente equipada. Osatendentes são extremamentes simpáticos e atenciosos, merecendo destaque o Gilbert que faz com que você sinta como se o conhecesse há anos. Room Tip: Vale a pena pegar um apartamento com sala e cozinha.",atendentes,1
1125,"Estive no início de janeiro hospedada no Hotel Affinia Dumont e voltei totalmente satisfeita. Os quartos são excelentes, as camas maravilhosas, além da opção de escolher os travesseiros. Sem contar que o apartamento conta com uma sala e uma cozinha completamente equipada. Osatendentes são extremamentes simpáticos e atenciosos, merecendo destaque o Gilbert que faz com que você sinta como se o conhecesse há anos. Room Tip: Vale a pena pegar um apartamento com sala e cozinha.",gilbert,1
1126,"Estive no início de janeiro hospedada no Hotel Affinia Dumont e voltei totalmente satisfeita. Os quartos são excelentes, as camas maravilhosas, além da opção de escolher os travesseiros. Sem contar que o apartamento conta com uma sala e uma cozinha completamente equipada. Osatendentes são extremamentes simpáticos e atenciosos, merecendo destaque o Gilbert que faz com que você sinta como se o conhecesse há anos. Room Tip: Vale a pena pegar um apartamento com sala e cozinha.",vale a pena,1
1127,"Estive no início de janeiro hospedada no Hotel Affinia Dumont e voltei totalmente satisfeita. Os quartos são excelentes, as camas maravilhosas, além da opção de escolher os travesseiros. Sem contar que o apartamento conta com uma sala e uma cozinha completamente equipada. Osatendentes são extremamentes simpáticos e atenciosos, merecendo destaque o Gilbert que faz com que você sinta como se o conhecesse há anos. Room Tip: Vale a pena pegar um apartamento com sala e cozinha.",quartos,1
1128,"Estive no início de janeiro hospedada no Hotel Affinia Dumont e voltei totalmente satisfeita. Os quartos são excelentes, as camas maravilhosas, além da opção de escolher os travesseiros. Sem contar que o apartamento conta com uma sala e uma cozinha completamente equipada. Osatendentes são extremamentes simpáticos e atenciosos, merecendo destaque o Gilbert que faz com que você sinta como se o conhecesse há anos. Room Tip: Vale a pena pegar um apartamento com sala e cozinha.",camas,1
1129,"Estive no início de janeiro hospedada no Hotel Affinia Dumont e voltei totalmente satisfeita. Os quartos são excelentes, as camas maravilhosas, além da opção de escolher os travesseiros. Sem contar que o apartamento conta com uma sala e uma cozinha completamente equipada. Osatendentes são extremamentes simpáticos e atenciosos, merecendo destaque o Gilbert que faz com que você sinta como se o conhecesse há anos. Room Tip: Vale a pena pegar um apartamento com sala e cozinha.",travesseiros,1
1130,"Estive no início de janeiro hospedada no Hotel Affinia Dumont e voltei totalmente satisfeita. Os quartos são excelentes, as camas maravilhosas, além da opção de escolher os travesseiros. Sem contar que o apartamento conta com uma sala e uma cozinha completamente equipada. Osatendentes são extremamentes simpáticos e atenciosos, merecendo destaque o Gilbert que faz com que você sinta como se o conhecesse há anos. Room Tip: Vale a pena pegar um apartamento com sala e cozinha.",apartment-sala,1
1131,"Estive no início de janeiro hospedada no Hotel Affinia Dumont e voltei totalmente satisfeita. Os quartos são excelentes, as camas maravilhosas, além da opção de escolher os travesseiros. Sem contar que o apartamento conta com uma sala e uma cozinha completamente equipada. Osatendentes são extremamentes simpáticos e atenciosos, merecendo destaque o Gilbert que faz com que você sinta como se o conhecesse há anos. Room Tip: Vale a pena pegar um apartamento com sala e cozinha.",apartment-cozinha,1
1132,"Estive no início de janeiro hospedada no Hotel Affinia Dumont e voltei totalmente satisfeita. Os quartos são excelentes, as camas maravilhosas, além da opção de escolher os travesseiros. Sem contar que o apartamento conta com uma sala e uma cozinha completamente equipada. Osatendentes são extremamentes simpáticos e atenciosos, merecendo destaque o Gilbert que faz com que você sinta como se o conhecesse há anos. Room Tip: Vale a pena pegar um apartamento com sala e cozinha.",atendentes,1
1133,"Estive no início de janeiro hospedada no Hotel Affinia Dumont e voltei totalmente satisfeita. Os quartos são excelentes, as camas maravilhosas, além da opção de escolher os travesseiros. Sem contar que o apartamento conta com uma sala e uma cozinha completamente equipada. Osatendentes são extremamentes simpáticos e atenciosos, merecendo destaque o Gilbert que faz com que você sinta como se o conhecesse há anos. Room Tip: Vale a pena pegar um apartamento com sala e cozinha.",Gilbert,1
1134,"Estive no início de janeiro hospedada no Hotel Affinia Dumont e voltei totalmente satisfeita. Os quartos são excelentes, as camas maravilhosas, além da opção de escolher os travesseiros. Sem contar que o apartamento conta com uma sala e uma cozinha completamente equipada. Osatendentes são extremamentes simpáticos e atenciosos, merecendo destaque o Gilbert que faz com que você sinta como se o conhecesse há anos. Room Tip: Vale a pena pegar um apartamento com sala e cozinha.",Room Tip,-1
1135,"Estive no início de janeiro hospedada no Hotel Affinia Dumont e voltei totalmente satisfeita. Os quartos são excelentes, as camas maravilhosas, além da opção de escolher os travesseiros. Sem contar que o apartamento conta com uma sala e uma cozinha completamente equipada. Osatendentes são extremamentes simpáticos e atenciosos, merecendo destaque o Gilbert que faz com que você sinta como se o conhecesse há anos. Room Tip: Vale a pena pegar um apartamento com sala e cozinha.",hospedagem,1
1136,"Estive no início de janeiro hospedada no Hotel Affinia Dumont e voltei totalmente satisfeita. Os quartos são excelentes, as camas maravilhosas, além da opção de escolher os travesseiros. Sem contar que o apartamento conta com uma sala e uma cozinha completamente equipada. Osatendentes são extremamentes simpáticos e atenciosos, merecendo destaque o Gilbert que faz com que você sinta como se o conhecesse há anos. Room Tip: Vale a pena pegar um apartamento com sala e cozinha.",quartos,1
1137,"Estive no início de janeiro hospedada no Hotel Affinia Dumont e voltei totalmente satisfeita. Os quartos são excelentes, as camas maravilhosas, além da opção de escolher os travesseiros. Sem contar que o apartamento conta com uma sala e uma cozinha completamente equipada. Osatendentes são extremamentes simpáticos e atenciosos, merecendo destaque o Gilbert que faz com que você sinta como se o conhecesse há anos. Room Tip: Vale a pena pegar um apartamento com sala e cozinha.",camas,1
1138,"Estive no início de janeiro hospedada no Hotel Affinia Dumont e voltei totalmente satisfeita. Os quartos são excelentes, as camas maravilhosas, além da opção de escolher os travesseiros. Sem contar que o apartamento conta com uma sala e uma cozinha completamente equipada. Osatendentes são extremamentes simpáticos e atenciosos, merecendo destaque o Gilbert que faz com que você sinta como se o conhecesse há anos. Room Tip: Vale a pena pegar um apartamento com sala e cozinha.",travesseiros,1
1139,"Estive no início de janeiro hospedada no Hotel Affinia Dumont e voltei totalmente satisfeita. Os quartos são excelentes, as camas maravilhosas, além da opção de escolher os travesseiros. Sem contar que o apartamento conta com uma sala e uma cozinha completamente equipada. Osatendentes são extremamentes simpáticos e atenciosos, merecendo destaque o Gilbert que faz com que você sinta como se o conhecesse há anos. Room Tip: Vale a pena pegar um apartamento com sala e cozinha.",apartamento,1
